,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Valor_Unitario_Num,Valor Custo
42,65044,2023-12-01,Loja Fortaleza,HD SSD Kingston 1 Tb,1,141,141,141,125.72
43,65044,2023-12-01,Loja Fortaleza,Mouse Pad Colorido,1,133,133,133,54.58
44,65045,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,2,70,140,70,64.21
45,65046,2023-12-01,Loja São Paulo 1,Teclado sem Fio Megaware,2,97,194,97,72.36
46,65047,2023-12-01,Loja Maringá,Fone de Ouvido Bluetooth HP,1,181,181,181,122.48
47,65047,2023-12-01,Loja Maringá,Calculadora Cientifica HP,5,155,775,155,110.98
48,65047,2023-12-01,Loja Maringá,Kit Teclado e Mouse Sem Fio,3,709,2127,709,529.09
49,65048,2023-12-01,Loja Campinas,Kit Teclado e Mouse Sem Fio,3,266,798,266,198.5
50,65049,2023-12-01,Loja São Paulo 1,Kit Teclado e Mouse Sem Fio,5,750,3750,750,559.69
51,65049,2023-12-01,Loja São Paulo 1,Teclado sem Fio Megaware,1,85,85,85,63.41
52,65050,2023-12-01,Loja Recife,HD SSD Kingston 1 Tb,2,107,214,107,95.41
53,65051,2023-12-01,Loja Florianópolis,HD SSD Maxtel 750 Gb,1,130,130,130,119.25
54,65053,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,4,118,472,118,105.21
55,65054,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,5,149,745,149,111.19
56,65055,2023-12-01,Loja Rio de Janeiro 2,Mesa Digitalizadora,2,196,392,196,139.31
57,65055,2023-12-01,Loja Rio de Janeiro 2,Teclado sem Fio Megaware,2,97,194,97,72.36
58,65056,2023-12-01,Loja São Paulo 2,Fone de Ouvido Bluetooth HP,2,170,340,170,115.04
59,65056,2023-12-01,Loja São Paulo 2,Calculadora Cientifica HP,1,169,169,169,121.0
60,65056,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,5,283,1415,283,259.59
61,65057,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,2,79,158,79,72.47
62,65058,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,2,50,100,50,45.86
63,65058,2023-12-01,Loja São Paulo 2,Kit Teclado e Mouse Sem Fio,2,120,240,120,89.55
64,65058,2023-12-01,Loja São Paulo 2,Teclado sem Fio Megaware,1,97,97,97,72.36
65,65060,2023-12-01,Loja São Paulo 2,Teclado sem Fio Megaware,4,85,340,85,63.41
66,65060,2023-12-01,Loja São Paulo 2,Fone de Ouvido Bluetooth HP,1,190,190,190,128.57
67,65062,2023-12-01,Loja São Paulo 1,Kit Teclado e Mouse Sem Fio,2,100,200,100,74.62
68,65062,2023-12-01,Loja São Paulo 1,HD SSD Kingston 1 Tb,3,118,354,118,105.21
69,65062,2023-12-01,Loja São Paulo 1,HD SSD Maxtel 750 Gb,1,311,311,311,285.28
70,65062,2023-12-01,Loja São Paulo 1,HD SSD Maxtel 750 Gb,2,87,174,87,79.8
71,65062,2023-12-01,Loja São Paulo 1,Teclado Gamer com Led,1,214,214,214,157.4
72,65063,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,1,50,50,50,45.86
73,65063,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,2,720,1440,720,537.3
74,65064,2023-12-01,Loja São Paulo 3,Mouse Pad Colorido,2,133,266,133,54.58
75,65066,2023-12-01,Loja São Paulo 2,Teclado sem Fio Megaware,1,124,124,124,92.51
76,65066,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,1,149,149,149,136.68
77,65066,2023-12-01,Loja São Paulo 2,Teclado sem Fio Megaware,3,85,255,85,63.41
78,65068,2023-12-01,Loja Porto Alegre,HD SSD Maxtel 750 Gb,1,275,275,275,252.25
79,65070,2023-12-01,Loja João Pessoa,Kit Teclado e Mouse Sem Fio,3,256,768,256,191.04
80,65070,2023-12-01,Loja João Pessoa,Kit Teclado e Mouse Sem Fio,1,700,700,700,522.37
81,65070,2023-12-01,Loja João Pessoa,HD SSD Kingston 1 Tb,2,100,200,100,89.17
82,65071,2023-12-01,Loja São Paulo 3,Teclado sem Fio Multi,3,60,180,60,37.72
83,65071,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,2,100,200,100,89.17
84,65071,2023-12-01,Loja São Paulo 3,HD SSD Maxtel 750 Gb,2,41,82,41,37.61
85,65071,2023-12-01,Loja São Paulo 3,HD SSD Maxtel 750 Gb,5,176,880,176,161.44
86,65071,2023-12-01,Loja São Paulo 3,Mouse Pad Colorido,4,96,384,96,39.4
87,65072,2023-12-01,Loja João Pessoa,Calculadora Cientifica HP,5,157,785,157,112.41
88,65074,2023-12-01,Loja Rio de Janeiro 1,Mouse Pad Colorido,1,200,200,200,82.07
89,65074,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,1,266,266,266,198.5
90,65076,2023-12-01,Loja Fortaleza,Teclado sem Fio Multi,1,93,93,93,58.46
91,65076,2023-12-01,Loja Fortaleza,Mesa Digitalizadora,1,223,223,223,158.5
92,65076,2023-12-01,Loja Fortaleza,Kit Teclado e Mouse Sem Fio,1,259,259,259,193.28
93,65077,2023-12-01,Loja Rio de Janeiro 1,Teclado sem Fio Multi,1,67,67,67,42.12
94,65080,2023-12-01,Loja São Paulo 2,Teclado sem Fio Multi,1,69,69,69,43.37
95,65080,2023-12-01,Loja São Paulo 2,Kit Teclado e Mouse Sem Fio,1,709,709,709,529.09
96,65081,2023-12-01,Loja São Paulo 1,Mouse Pad Colorido,3,216,648,216,88.64
97,65081,2023-12-01,Loja São Paulo 1,Teclado Gamer com Led,3,209,627,209,153.72
98,65081,2023-12-01,Loja São Paulo 1,Calculadora Cientifica HP,1,155,155,155,110.98
99,65081,2023-12-01,Loja São Paulo 1,Teclado Gamer com Led,1,209,209,209,153.72
100,65082,2023-12-01,Loja Florianópolis,Kit Teclado e Mouse Sem Fio,4,709,2836,709,529.09
101,65083,2023-12-01,Loja São Paulo 3,Roteador 300 Mbps Cisco,2,105,210,105,83.53
102,65087,2023-12-01,Loja Porto Alegre,Roteador 300 Mbps Cisco,1,74,74,74,58.87
103,65087,2023-12-01,Loja Porto Alegre,Mouse Pad Colorido,1,368,368,368,151.02
104,65087,2023-12-01,Loja Porto Alegre,Mesa Digitalizadora,3,200,600,200,142.16
105,65087,2023-12-01,Loja Porto Alegre,Teclado sem Fio Multi,3,93,279,93,58.46
106,65088,2023-12-01,Loja São Paulo 1,Mesa Digitalizadora,1,197,197,197,140.02
107,65089,2023-12-01,Loja São Paulo 3,Mouse sem Fio Microsoft,3,259,777,259,162.03
108,65091,2023-12-01,Loja Florianópolis,Mouse Pad Colorido,3,102,306,102,41.86
109,65091,2023-12-01,Loja Florianópolis,Mouse sem Fio Microsoft,1,259,259,259,162.03
110,65093,2023-12-01,Loja Recife,Calculadora Cientifica HP,3,155,465,155,110.98
111,65093,2023-12-01,Loja Recife,Fone de Ouvido Bluetooth HP,1,181,181,181,122.48
112,65093,2023-12-01,Loja Recife,Mouse sem Fio Microsoft,1,259,259,259,162.03
113,65094,2023-12-01,Loja Fortaleza,Kit Teclado e Mouse Sem Fio,2,100,200,100,74.62
114,65094,2023-12-01,Loja Fortaleza,Mesa Digitalizadora,5,200,1000,200,142.16
115,65095,2023-12-01,Loja São Paulo 3,HD SSD Maxtel 750 Gb,1,87,87,87,79.8
116,65096,2023-12-01,Loja João Pessoa,HD SSD Maxtel 750 Gb,1,311,311,311,285.28
117,65096,2023-12-01,Loja João Pessoa,HD SSD Maxtel 750 Gb,1,276,276,276,253.17
118,65097,2023-12-01,Loja São Paulo 3,Teclado sem Fio Megaware,3,93,279,93,69.38
119,65098,2023-12-01,Loja Natal,Kit Teclado e Mouse Sem Fio,3,750,2250,750,559.69
120,65098,2023-12-01,Loja Natal,HD SSD Maxtel 750 Gb,2,78,156,78,71.55
121,65099,2023-12-01,Loja Fortaleza,Fone de Ouvido Bluetooth HP,3,170,510,170,115.04
122,65099,2023-12-01,Loja Fortaleza,Mouse Pad Colorido,3,90,270,90,36.93
123,65099,2023-12-01,Loja Fortaleza,Calculadora Cientifica HP,3,163,489,163,116.7
124,65100,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,1,118,118,118,105.21
125,65100,2023-12-01,Loja São Paulo 3,Mouse Pad Colorido,4,90,360,90,36.93
126,65100,2023-12-01,Loja São Paulo 3,Kit Teclado e Mouse Sem Fio,2,149,298,149,111.19
127,65100,2023-12-01,Loja São Paulo 3,Teclado sem Fio Megaware,4,80,320,80,59.68
128,65101,2023-12-01,Loja Campinas,Mouse sem Fio Microsoft,3,299,897,299,187.05
129,65102,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,2,107,214,107,95.41
130,65104,2023-12-01,Loja Maringá,Kit Teclado e Mouse Sem Fio,5,706,3530,706,526.85
131,65106,2023-12-01,Loja Recife,Roteador 300 Mbps Cisco,5,66,330,66,52.5
132,65106,2023-12-01,Loja Recife,Teclado Gamer com Led,1,209,209,209,153.72
133,65106,2023-12-01,Loja Recife,HD SSD Kingston 1 Tb,1,105,105,105,93.62
134,65106,2023-12-01,Loja Recife,Mouse sem Fio Microsoft,4,256,1024,256,160.15
135,65106,2023-12-01,Loja Recife,Kit Teclado e Mouse Sem Fio,5,100,500,100,74.62
136,65106,2023-12-01,Loja Recife,Kit Teclado e Mouse Sem Fio,1,700,700,700,522.37
137,65108,2023-12-01,Loja São Paulo 3,HD SSD Maxtel 750 Gb,2,50,100,50,45.86
138,65109,2023-12-01,Loja São Paulo 3,Mesa Digitalizadora,5,196,980,196,139.31
139,65111,2023-12-01,Loja Maringá,Kit Teclado e Mouse Sem Fio,1,294,294,294,219.4
140,65112,2023-12-01,Loja São Paulo 3,HD SSD Maxtel 750 Gb,1,114,114,114,104.57
141,65113,2023-12-01,Loja Florianópolis,Kit Teclado e Mouse Sem Fio,1,266,266,266,198.5
142,65113,2023-12-01,Loja Florianópolis,Mouse sem Fio Microsoft,1,299,299,299,187.05
143,65114,2023-12-01,Loja Florianópolis,Kit Teclado e Mouse Sem Fio,2,114,228,114,85.07
144,65115,2023-12-01,Loja Fortaleza,HD SSD Maxtel 750 Gb,2,38,76,38,34.86
145,65116,2023-12-01,Loja Florianópolis,HD SSD Maxtel 750 Gb,1,277,277,277,254.09
146,65116,2023-12-01,Loja Florianópolis,Calculadora Cientifica HP,4,169,676,169,121.0
147,65117,2023-12-01,Loja São Paulo 2,Teclado Gamer com Led,1,215,215,215,158.13
148,65117,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,3,276,828,276,253.17
149,65118,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,5,350,1750,350,143.63
150,65118,2023-12-01,Loja São Paulo 2,Fone de Ouvido Bluetooth HP,1,211,211,211,142.78
151,65119,2023-12-01,Loja Porto Alegre,HD SSD Maxtel 750 Gb,2,283,566,283,259.59
152,65120,2023-12-01,Loja São Paulo 3,Mouse Pad Colorido,2,350,700,350,143.63
153,65121,2023-12-01,Loja São Paulo 2,Teclado Gamer com Led,4,214,856,214,157.4
154,65121,2023-12-01,Loja São Paulo 2,Kit Teclado e Mouse Sem Fio,1,709,709,709,529.09
155,65121,2023-12-01,Loja São Paulo 2,Kit Teclado e Mouse Sem Fio,3,250,750,250,186.56
156,65123,2023-12-01,Loja São Paulo 3,Mesa Digitalizadora,2,200,400,200,142.16
157,65123,2023-12-01,Loja São Paulo 3,Roteador 300 Mbps Cisco,3,71,213,71,56.48
158,65123,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,2,105,210,105,93.62
159,65124,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,5,118,590,118,105.21
160,65125,2023-12-01,Loja João Pessoa,Mouse Pad Colorido,2,214,428,214,87.82
161,65125,2023-12-01,Loja João Pessoa,Teclado sem Fio Megaware,3,85,255,85,63.41
162,65125,2023-12-01,Loja João Pessoa,Mouse sem Fio Microsoft,5,269,1345,269,168.28
163,65125,2023-12-01,Loja João Pessoa,Teclado Gamer com Led,4,214,856,214,157.4
164,65126,2023-12-01,Loja Rio de Janeiro 2,Kit Teclado e Mouse Sem Fio,1,120,120,120,89.55
165,65126,2023-12-01,Loja Rio de Janeiro 2,Fone de Ouvido Bluetooth HP,1,170,170,170,115.04
166,65126,2023-12-01,Loja Rio de Janeiro 2,Teclado sem Fio Multi,1,60,60,60,37.72
167,65126,2023-12-01,Loja Rio de Janeiro 2,Teclado Gamer com Led,3,209,627,209,153.72
168,65126,2023-12-01,Loja Rio de Janeiro 2,Mouse sem Fio Microsoft,1,299,299,299,187.05
169,65126,2023-12-01,Loja Rio de Janeiro 2,Roteador 300 Mbps Cisco,2,74,148,74,58.87
170,65128,2023-12-01,Loja Rio de Janeiro 2,HD SSD Kingston 1 Tb,1,113,113,113,100.76
171,65129,2023-12-01,Loja Rio de Janeiro 2,Teclado Gamer com Led,2,214,428,214,157.4
172,65131,2023-12-01,Loja Campinas,Teclado sem Fio Megaware,2,85,170,85,63.41
173,65131,2023-12-01,Loja Campinas,Teclado sem Fio Megaware,4,97,388,97,72.36
174,65131,2023-12-01,Loja Campinas,HD SSD Maxtel 750 Gb,2,270,540,270,247.67
175,65132,2023-12-01,Loja Blumenau,Teclado sem Fio Megaware,2,97,194,97,72.36
176,65132,2023-12-01,Loja Blumenau,HD SSD Maxtel 750 Gb,2,277,554,277,254.09
177,65132,2023-12-01,Loja Blumenau,HD SSD Maxtel 750 Gb,1,149,149,149,136.68
178,65132,2023-12-01,Loja Blumenau,HD SSD Maxtel 750 Gb,2,138,276,138,126.59
179,65133,2023-12-01,Loja Maringá,HD SSD Maxtel 750 Gb,1,149,149,149,136.68
180,65133,2023-12-01,Loja Maringá,Fone de Ouvido Bluetooth HP,1,170,170,170,115.04
181,65133,2023-12-01,Loja Maringá,HD SSD Maxtel 750 Gb,2,283,566,283,259.59
182,65135,2023-12-01,Loja São Paulo 2,HD SSD Kingston 1 Tb,2,118,236,118,105.21
183,65136,2023-12-01,Loja Recife,Kit Teclado e Mouse Sem Fio,1,116,116,116,86.56
184,65136,2023-12-01,Loja Recife,Fone de Ouvido Bluetooth HP,3,170,510,170,115.04
185,65137,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,4,176,704,176,161.44
186,65139,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,5,87,435,87,79.8
187,65139,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,2,750,1500,750,559.69
188,65140,2023-12-01,Loja São Paulo 3,Teclado sem Fio Multi,2,60,120,60,37.72
189,65141,2023-12-01,Loja São Paulo 3,Teclado sem Fio Multi,1,69,69,69,43.37
190,65141,2023-12-01,Loja São Paulo 3,HD SSD Maxtel 750 Gb,3,270,810,270,247.67
191,65142,2023-12-01,Loja São Paulo 3,HD SSD Kingston 1 Tb,1,105,105,105,93.62
192,65143,2023-12-01,Loja Florianópolis,Fone de Ouvido Bluetooth HP,3,190,570,190,128.57
193,65143,2023-12-01,Loja Florianópolis,Teclado Gamer com Led,1,215,215,215,158.13
194,65144,2023-12-01,Loja Rio de Janeiro 2,Fone de Ouvido Bluetooth HP,1,185,185,185,125.19
195,65145,2023-12-01,Loja Rio de Janeiro 2,Teclado sem Fio Multi,4,93,372,93,58.46
196,65145,2023-12-01,Loja Rio de Janeiro 2,HD SSD Kingston 1 Tb,1,105,105,105,93.62
197,65145,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,2,283,566,283,259.59
198,65146,2023-12-01,Loja Maringá,HD SSD Kingston 1 Tb,5,116,580,116,103.43
199,65146,2023-12-01,Loja Maringá,Teclado Gamer com Led,3,215,645,215,158.13
200,65146,2023-12-01,Loja Maringá,Calculadora Cientifica HP,4,150,600,150,107.4
201,65146,2023-12-01,Loja Maringá,Mouse Pad Colorido,3,216,648,216,88.64
202,65148,2023-12-01,Loja Blumenau,Mouse Pad Colorido,3,368,1104,368,151.02
203,65150,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,1,256,256,256,191.04
204,65151,2023-12-01,Loja Recife,HD SSD Kingston 1 Tb,4,105,420,105,93.62
205,65151,2023-12-01,Loja Recife,Roteador 300 Mbps Cisco,1,74,74,74,58.87
206,65151,2023-12-01,Loja Recife,Kit Teclado e Mouse Sem Fio,1,262,262,262,195.52
207,65152,2023-12-01,Loja Fortaleza,HD SSD Maxtel 750 Gb,2,176,352,176,161.44
208,65152,2023-12-01,Loja Fortaleza,HD SSD Maxtel 750 Gb,3,37,111,37,33.94
209,65152,2023-12-01,Loja Fortaleza,Mouse Pad Colorido,2,219,438,219,89.87
210,65154,2023-12-01,Loja São Paulo 1,Mouse sem Fio Microsoft,2,250,500,250,156.4
211,65154,2023-12-01,Loja São Paulo 1,Fone de Ouvido Bluetooth HP,3,181,543,181,122.48
212,65155,2023-12-01,Loja Blumenau,Kit Teclado e Mouse Sem Fio,1,709,709,709,529.09
213,65155,2023-12-01,Loja Blumenau,Teclado sem Fio Multi,1,66,66,66,41.49
214,65155,2023-12-01,Loja Blumenau,HD SSD Kingston 1 Tb,4,100,400,100,89.17
215,65157,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,2,276,552,276,253.17
216,65157,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,2,219,438,219,89.87
217,65157,2023-12-01,Loja São Paulo 2,Kit Teclado e Mouse Sem Fio,3,750,2250,750,559.69
218,65159,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,2,311,622,311,285.28
219,65160,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,5,87,435,87,79.8
220,65160,2023-12-01,Loja Rio de Janeiro 2,Teclado sem Fio Megaware,1,80,80,80,59.68
221,65160,2023-12-01,Loja Rio de Janeiro 2,Mouse Pad Colorido,1,100,100,100,41.04
222,65160,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,4,50,200,50,45.86
223,65161,2023-12-01,Loja Blumenau,Fone de Ouvido Bluetooth HP,1,170,170,170,115.04
224,65161,2023-12-01,Loja Blumenau,HD SSD Kingston 1 Tb,3,116,348,116,103.43
225,65165,2023-12-01,Loja Porto Alegre,Mouse sem Fio Microsoft,1,256,256,256,160.15
226,65167,2023-12-01,Loja Rio de Janeiro 1,HD SSD Kingston 1 Tb,1,116,116,116,103.43
227,65168,2023-12-01,Loja São Paulo 2,Roteador 300 Mbps Cisco,1,73,73,73,58.07
228,65168,2023-12-01,Loja São Paulo 2,Mesa Digitalizadora,2,196,392,196,139.31
229,65168,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,2,368,736,368,151.02
230,65169,2023-12-01,Loja Natal,HD SSD Kingston 1 Tb,4,118,472,118,105.21
231,65170,2023-12-01,Loja Rio de Janeiro 2,Kit Teclado e Mouse Sem Fio,1,706,706,706,526.85
232,65170,2023-12-01,Loja Rio de Janeiro 2,HD SSD Kingston 1 Tb,2,118,236,118,105.21
233,65171,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,2,138,276,138,126.59
234,65171,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,1,37,37,37,33.94
235,65173,2023-12-01,Loja Recife,Mouse Pad Colorido,5,214,1070,214,87.82
236,65174,2023-12-01,Loja Rio de Janeiro 1,Fone de Ouvido Bluetooth HP,2,170,340,170,115.04
237,65174,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,2,87,174,87,79.8
238,65175,2023-12-01,Loja João Pessoa,HD SSD Kingston 1 Tb,2,107,214,107,95.41
239,65176,2023-12-01,Loja Fortaleza,HD SSD Kingston 1 Tb,1,118,118,118,105.21
240,65176,2023-12-01,Loja Fortaleza,HD SSD Maxtel 750 Gb,1,79,79,79,72.47
241,65177,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,1,750,750,750,559.69
242,65177,2023-12-01,Loja Rio de Janeiro 1,Teclado Gamer com Led,1,248,248,248,182.4
243,65179,2023-12-01,Loja São Paulo 1,Teclado sem Fio Megaware,1,85,85,85,63.41
244,65179,2023-12-01,Loja São Paulo 1,Calculadora Cientifica HP,2,150,300,150,107.4
245,65179,2023-12-01,Loja São Paulo 1,HD SSD Kingston 1 Tb,5,107,535,107,95.41
246,65179,2023-12-01,Loja São Paulo 1,HD SSD Kingston 1 Tb,2,100,200,100,89.17
247,65179,2023-12-01,Loja São Paulo 1,HD SSD Kingston 1 Tb,2,100,200,100,89.17
248,65180,2023-12-01,Loja São Paulo 2,Mouse sem Fio Microsoft,1,250,250,250,156.4
249,65181,2023-12-01,Loja Fortaleza,Roteador 300 Mbps Cisco,1,73,73,73,58.07
250,65182,2023-12-01,Loja Rio de Janeiro 1,Calculadora Cientifica HP,1,150,150,150,107.4
251,65183,2023-12-01,Loja Rio de Janeiro 1,HD SSD Kingston 1 Tb,2,100,200,100,89.17
252,65185,2023-12-01,Loja Fortaleza,Mouse Pad Colorido,2,133,266,133,54.58
253,65185,2023-12-01,Loja Fortaleza,Mouse Pad Colorido,5,368,1840,368,151.02
254,65185,2023-12-01,Loja Fortaleza,Mouse Pad Colorido,1,133,133,133,54.58
255,65186,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,1,130,130,130,119.25
256,65189,2023-12-01,Loja Rio de Janeiro 1,Mesa Digitalizadora,1,223,223,223,158.5
257,65189,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,2,270,540,270,247.67
258,65191,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,3,137,411,137,125.67
259,65192,2023-12-01,Loja Natal,HD SSD Kingston 1 Tb,5,116,580,116,103.43
260,65192,2023-12-01,Loja Natal,Teclado sem Fio Megaware,1,93,93,93,69.38
261,65193,2023-12-01,Loja Florianópolis,Mouse Pad Colorido,3,133,399,133,54.58
262,65193,2023-12-01,Loja Florianópolis,Kit Teclado e Mouse Sem Fio,1,294,294,294,219.4
263,65193,2023-12-01,Loja Florianópolis,Kit Teclado e Mouse Sem Fio,1,709,709,709,529.09
264,65193,2023-12-01,Loja Florianópolis,HD SSD Kingston 1 Tb,1,145,145,145,129.29
265,65193,2023-12-01,Loja Florianópolis,HD SSD Kingston 1 Tb,5,108,540,108,96.3
266,65194,2023-12-01,Loja São Paulo 3,Teclado sem Fio Megaware,3,92,276,92,68.63
267,65195,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,1,214,214,214,87.82
268,65195,2023-12-01,Loja São Paulo 2,Calculadora Cientifica HP,3,163,489,163,116.7
269,65196,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,2,87,174,87,79.8
270,65196,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,1,750,750,750,559.69
271,65196,2023-12-01,Loja Rio de Janeiro 1,Teclado sem Fio Multi,1,60,60,60,37.72
272,65197,2023-12-01,Loja São Paulo 1,Kit Teclado e Mouse Sem Fio,2,149,298,149,111.19
273,65198,2023-12-01,Loja São Paulo 2,Calculadora Cientifica HP,3,195,585,195,139.62
